code,name,numero_muestras,positive,negative,longitude,latitude
5002,ABEJORRAL,240,25,215,-75.4287403904,5.78930111433
5031,AMALFI,267,28,239,-75.0774749239,6.90967360478
5038,ANGOSTURA,830,29,802,-75.3351091186,6.88518441484
5059,ARMENIA,12,0,12,-75.7866245369,6.15567240561
5079,BARBOSA,192,13,179,-75.3316403017,6.4392260115
5086,BELMIRA,3899,181,3718,-75.6673737242,6.60615865921
5088,BELLO,1541,68,1476,-75.5546673053,6.33406558292
5129,CALDAS,13,3,10,-75.6336168248,6.09129760323
5134,CAMPAMENTO,52,3,49,-75.298084784,6.97977648289
5148,EL CARMEN DE VIBORAL,587,14,573,-75.3342620232,6.08347326731
5150,CAROLINA,147,7,140,-75.2831680463,6.72597625966
5154,CAUCASIA,417,28,389,-75.1982784645,7.97734097812
5190,CISNEROS,5,1,4,-75.0872051341,6.53776304826
5209,CONCORDIA,20,0,20,-75.9084535194,6.04608659615
5266,ENVIGADO,250,4,246,-75.5830089369,6.16700589298
5282,FREDONIA,431,17,322,-75.6750932516,5.9280855467
5284,FRONTINO,451,24,427,-76.1307652118,6.77606285319
5308,GIRARDOTA,135,5,130,-75.4444597681,6.37961535607
5313,GRANADA,4,0,4,-75.1844500639,6.1429023597
5318,GUARNE,136,5,131,-75.4416535712,6.27802696108
5376,LA CEJA,742,20,722,-75.4294329272,6.02805465836
5376,LA CEJA,25,1,24,-75.4294329272,6.02805465836
5411,LIBORINA,16,0,16,-75.8128326075,6.67732537607
5425,MACEO,132,15,116,-74.7871571162,6.55211468066
5440,MARINILLA,79,14,65,-75.3394598367,6.17404951538
5591,PUERTO TRIUNFO,644,18,626,-74.6412656382,5.87120719689
5607,RETIRO,134,1,133,-75.5013756659,6.06338107129
5615,RIONEGRO,1051,49,1002,-75.3767667557,6.1472245313
5642,SALGAR,25,1,24,-75.982048544,5.965640311
5660,SAN LUIS,62,1,61,-74.9936401255,6.04298332565
5664,SAN PEDRO DE LOS MILAGROS,10,0,10,-75.5567189241,6.46013808244
5664,SAN PEDRO DE LOS MILAGROS,10830,387,10443,-75.5567189241,6.46013808244
5664,SAN PEDRO DE LOS MILAGROS,18,0,18,-75.5567189241,6.46013808244
5667,SAN RAFAEL,255,11,244,-75.0279828807,6.29375698332
5670,SAN ROQUE,51,0,51,-75.0191661484,6.48594047044
5686,SANTA ROSA DE OSOS,51,1,51,-75.460740037,6.64332643406
5686,SANTA ROSA DE OSOS,16251,736,15518,-75.460740037,6.64332643406
5697,EL SANTUARIO,59,2,57,-75.2654679804,6.13685720436
5837,TURBO,2,0,2,-76.7291596582,8.08911317497
5854,VALDIVIA,77,3,77,-75.4391982543,7.1653440936
5861,VENECIA,407,9,398,-75.7355000679,5.96473060641
5887,YARUMAL,2159,67,2096,-75.4188327746,6.96387109143
5887,YARUMAL,23,0,23,-75.4188327746,6.96387109143
13052,ARJONA,14,0,14,-75.3444876588,10.256630539
13074,BARRANCO DE LOBA,3,0,3,-74.105224848,8.94773040932
13300,HATILLO DE LOBA,370,3,367,-74.0783633089,8.95561446403
15051,ARCABUCO,212,39,173,-73.4375431565,5.75546754184
15131,CALDAS,8,1,7,-73.865542982,5.55457589379
15162,CERINZA,119,20,99,-72.9482718544,5.95603263546
15238,DUITAMA,497,0,311,-73.030610836,5.82298464605
15272,FIRAVITOBA,306,13,293,-72.9933618342,5.66892506903
15276,FLORESTA,136,10,126,-72.9181118071,5.85952057405
15322,GUATEQUE,127,11,116,-73.4712060695,5.0073212036
15362,IZA,181,3,119,-72.9795593407,5.61157775921
15491,NOBSA,153,23,130,-72.939853172,5.771042607
15516,PAIPA,951,14,526,-73.1179179167,5.77994168888
15676,SAN MIGUEL DE SEMA,740,33,707,-73.7220038544,5.51808577641
15693,SANTA ROSA DE VITERBO,451,37,382,-72.9824613082,5.87455316111
15759,SOGAMOSO,18,3,15,-72.9230476498,5.72568884872
15806,TIBASOSA,273,16,257,-72.9994496769,5.74722853114
15814,TOCA,244,11,235,-73.1847912527,5.56646952357
15837,TUTA,142,11,131,-73.2308547731,5.68880380751
15861,VENTAQUEMADA,94,6,88,-73.5224525403,5.36885763606
17001,MANIZALES,1080,8,1072,-75.4910467146,5.05768733557
17042,ANSERMA,250,9,241,-75.784340784,5.23647611674
17050,ARANZAZU,133,0,133,-75.4912889044,5.27119632374
17272,FILADELFIA,23,0,23,-75.5624695597,5.29709791696
17272,FILADELFIA,102,0,29,-75.5624695597,5.29709791696
17380,LA DORADA,416,3,413,-74.6684167053,5.46047440177
17486,NEIRA,63,3,42,-75.5198428283,5.16670622135
17524,PALESTINA,840,20,663,-75.6244642214,5.01783945198
17616,RISARALDA,403,8,395,-75.7672745412,5.16419213427
17867,VICTORIA,189,8,181,-74.9111571246,5.31741797231
17877,VITERBO,340,8,332,-75.870613237,5.06266333127
